datetime,open,high,low,close,volume
2025-10-19T08:00:00+00:00,19.94,20.164,19.81,19.878,24707.79
2025-10-19T09:00:00+00:00,19.835,20.267,19.741,20.169,46526.34
2025-10-19T10:00:00+00:00,20.156,20.511,20.083,20.416,36473.73
2025-10-19T11:00:00+00:00,20.425,20.586,20.355,20.381,13319.54
2025-10-19T12:00:00+00:00,20.396,20.436,20.304,20.42,7938.78
2025-10-19T13:00:00+00:00,20.432,20.761,20.395,20.73,14601.1
2025-10-19T14:00:00+00:00,20.718,20.819,20.604,20.77,31734.14
2025-10-19T15:00:00+00:00,20.77,20.777,20.647,20.723,24154.55
2025-10-19T16:00:00+00:00,20.726,20.735,20.546,20.633,41805.57
2025-10-19T17:00:00+00:00,20.634,20.824,20.628,20.676,19066.19
2025-10-19T18:00:00+00:00,20.676,20.775,20.674,20.775,6960.89
2025-10-19T19:00:00+00:00,20.775,20.789,20.672,20.703,11406.56
2025-10-19T20:00:00+00:00,20.713,20.79,20.662,20.782,3348.55
2025-10-19T21:00:00+00:00,20.789,20.789,20.612,20.651,8766.74
2025-10-19T22:00:00+00:00,20.663,20.788,20.663,20.73,7203.34
2025-10-19T23:00:00+00:00,20.715,20.715,20.557,20.584,9932.94
2025-10-20T00:00:00+00:00,20.577,20.581,20.153,20.382,28461.96
2025-10-20T01:00:00+00:00,20.4,20.435,20.297,20.333,12161.77
2025-10-20T02:00:00+00:00,20.336,20.507,20.195,20.442,6907.93
2025-10-20T03:00:00+00:00,20.445,21.059,20.379,21.005,19430.17
2025-10-20T04:00:00+00:00,21.006,21.081,20.961,21.031,17810.5
2025-10-20T05:00:00+00:00,21.042,21.042,20.835,20.94,26252.43
2025-10-20T06:00:00+00:00,20.942,21.195,20.905,21.052,28274.04
2025-10-20T07:00:00+00:00,21.045,21.079,20.853,20.909,23455.88
2025-10-20T08:00:00+00:00,20.907,20.923,20.771,20.8,32659.01
2025-10-20T09:00:00+00:00,20.8,20.803,20.706,20.762,13196.0
2025-10-20T10:00:00+00:00,20.766,20.873,20.659,20.708,26131.3
2025-10-20T11:00:00+00:00,20.709,20.768,20.608,20.763,42354.09
2025-10-20T12:00:00+00:00,20.762,20.762,20.607,20.651,20288.29
2025-10-20T13:00:00+00:00,20.671,20.797,20.537,20.752,16363.09
2025-10-20T14:00:00+00:00,20.756,20.777,20.534,20.717,8411.32
2025-10-20T15:00:00+00:00,20.732,20.848,20.587,20.587,38936.9
2025-10-20T16:00:00+00:00,20.584,20.585,20.232,20.335,72624.26
2025-10-20T17:00:00+00:00,20.338,20.487,20.219,20.358,29371.18
2025-10-20T18:00:00+00:00,20.353,20.443,20.3,20.437,17278.11
