datetime,open,high,low,close,volume
2025-10-19T08:00:00+00:00,2.3468,2.3679,2.3258,2.331,1895833.0
2025-10-19T09:00:00+00:00,2.331,2.3808,2.3167,2.3605,2037816.0
2025-10-19T10:00:00+00:00,2.3614,2.3923,2.3537,2.3838,1182140.0
2025-10-19T11:00:00+00:00,2.3838,2.3969,2.3708,2.3739,795585.0
2025-10-19T12:00:00+00:00,2.3739,2.3776,2.3608,2.3695,759331.0
2025-10-19T13:00:00+00:00,2.3702,2.4032,2.3642,2.4,576300.0
2025-10-19T14:00:00+00:00,2.402,2.4133,2.3895,2.4114,1119089.0
2025-10-19T15:00:00+00:00,2.4114,2.4121,2.3932,2.3999,1019891.0
2025-10-19T16:00:00+00:00,2.4002,2.4066,2.3872,2.3982,546065.0
2025-10-19T17:00:00+00:00,2.3984,2.4178,2.3915,2.3947,1230503.0
2025-10-19T18:00:00+00:00,2.3969,2.4106,2.3951,2.4074,290203.0
2025-10-19T19:00:00+00:00,2.4074,2.4075,2.3912,2.3976,1067850.0
2025-10-19T20:00:00+00:00,2.3975,2.4058,2.3943,2.4039,468135.0
2025-10-19T21:00:00+00:00,2.4048,2.406,2.3853,2.3943,468611.0
2025-10-19T22:00:00+00:00,2.3954,2.408,2.395,2.4011,1230691.0
2025-10-19T23:00:00+00:00,2.4001,2.4001,2.3848,2.3893,378042.0
2025-10-20T00:00:00+00:00,2.3889,2.3891,2.3528,2.3785,2823198.0
2025-10-20T01:00:00+00:00,2.38,2.3833,2.3664,2.3707,878318.0
2025-10-20T02:00:00+00:00,2.3706,2.3947,2.363,2.3855,2403770.0
2025-10-20T03:00:00+00:00,2.3853,2.4394,2.3805,2.4327,4438160.0
2025-10-20T04:00:00+00:00,2.4322,2.4468,2.4302,2.4451,1929174.0
2025-10-20T05:00:00+00:00,2.4455,2.4556,2.4358,2.4549,1221239.0
2025-10-20T06:00:00+00:00,2.455,2.4719,2.455,2.4674,1339628.0
2025-10-20T07:00:00+00:00,2.4671,2.4759,2.4598,2.4688,1208500.0
2025-10-20T08:00:00+00:00,2.4689,2.4767,2.4567,2.471,2499916.0
2025-10-20T09:00:00+00:00,2.4709,2.4735,2.4553,2.4721,2086319.0
2025-10-20T10:00:00+00:00,2.4721,2.4788,2.4586,2.465,402765.0
2025-10-20T11:00:00+00:00,2.4647,2.4651,2.451,2.4556,451824.0
2025-10-20T12:00:00+00:00,2.4563,2.4572,2.4464,2.452,489448.0
2025-10-20T13:00:00+00:00,2.4532,2.4626,2.4471,2.4589,519615.0
2025-10-20T14:00:00+00:00,2.4593,2.4704,2.4474,2.4691,708718.0
2025-10-20T15:00:00+00:00,2.4704,2.4839,2.4616,2.4619,679773.0
2025-10-20T16:00:00+00:00,2.4605,2.4661,2.4255,2.4437,2255416.0
2025-10-20T17:00:00+00:00,2.4432,2.4593,2.4347,2.4575,1776374.0
2025-10-20T18:00:00+00:00,2.4584,2.4765,2.4541,2.474,685661.0
2025-10-20T19:00:00+00:00,2.4741,2.5501,2.4694,2.5244,2814414.0
2025-10-20T20:00:00+00:00,2.5244,2.5332,2.5053,2.5301,1681211.0
2025-10-20T21:00:00+00:00,2.5311,2.532,2.4859,2.491,1190608.0
2025-10-20T22:00:00+00:00,2.4906,2.5034,2.4822,2.4968,847295.0
2025-10-20T23:00:00+00:00,2.4968,2.4968,2.4845,2.4934,795347.0
2025-10-21T00:00:00+00:00,2.4934,2.4938,2.4812,2.4859,428522.0
2025-10-21T01:00:00+00:00,2.4848,2.4851,2.4623,2.467,1630115.0
2025-10-21T02:00:00+00:00,2.467,2.4685,2.4484,2.4494,1553146.0
2025-10-21T03:00:00+00:00,2.4494,2.4612,2.4473,2.4519,1202614.0
2025-10-21T04:00:00+00:00,2.4512,2.4521,2.4165,2.4227,6186705.0
2025-10-21T05:00:00+00:00,2.4223,2.4344,2.4197,2.4223,2587129.0
2025-10-21T06:00:00+00:00,2.4226,2.4356,2.4103,2.4303,2521173.0
2025-10-21T07:00:00+00:00,2.4301,2.4336,2.4166,2.4257,2088849.0
2025-10-21T08:00:00+00:00,2.425,2.425,2.4,2.4107,2089218.0
2025-10-21T09:00:00+00:00,2.4103,2.4108,2.4006,2.4077,579285.0
2025-10-21T10:00:00+00:00,2.4084,2.427,2.404,2.4149,1035134.0
2025-10-21T11:00:00+00:00,2.4156,2.431,2.4111,2.4301,793340.0
2025-10-21T12:00:00+00:00,2.4312,2.4458,2.4224,2.4236,764846.0
2025-10-21T13:00:00+00:00,2.4236,2.4301,2.4063,2.4114,1388905.0
2025-10-21T14:00:00+00:00,2.4118,2.4866,2.4114,2.485,3440794.0
