time,datetime,coin,side,px,sz,dir,closedPnl,fee,hash
1763315765476,2025-11-16T17:56:05.476000+00:00,TON,A,1.7599,1123.1,Open Short,0.0,0.889444,0x4f1b8114d444a3e65095042f9ae28102057700fa6f47c2b8f2e42c6793487dd0
1763315765476,2025-11-16T17:56:05.476000+00:00,TON,A,1.7599,1122.4,Open Short,0.0,0.88889,0x4f1b8114d444a3e65095042f9ae28102057700fa6f47c2b8f2e42c6793487dd0
1763315765476,2025-11-16T17:56:05.476000+00:00,TON,A,1.7599,1000.0,Open Short,0.0,0.791955,0x4f1b8114d444a3e65095042f9ae28102057700fa6f47c2b8f2e42c6793487dd0
1763315765476,2025-11-16T17:56:05.476000+00:00,TON,A,1.7598,1146.9,Open Short,0.0,0.908241,0x4f1b8114d444a3e65095042f9ae28102057700fa6f47c2b8f2e42c6793487dd0
1763315765476,2025-11-16T17:56:05.476000+00:00,TON,A,1.7597,1000.0,Open Short,0.0,0.791865,0x4f1b8114d444a3e65095042f9ae28102057700fa6f47c2b8f2e42c6793487dd0
1763315765476,2025-11-16T17:56:05.476000+00:00,TON,A,1.7597,266.9,Open Short,0.0,0.211348,0x4f1b8114d444a3e65095042f9ae28102057700fa6f47c2b8f2e42c6793487dd0
1763368368590,2025-11-17T08:32:48.590000+00:00,TON,B,1.8448,600.0,Close Short,-50.982,0.498096,0xbe93c92987c6a465c00d042fa4a4240000cee10f22c9c337625c747c46ca7e50
1763368368590,2025-11-17T08:32:48.590000+00:00,TON,B,1.8449,744.4,Close Short,-63.326108,0.618004,0xbe93c92987c6a465c00d042fa4a4240000cee10f22c9c337625c747c46ca7e50
1763368368590,2025-11-17T08:32:48.590000+00:00,TON,B,1.8449,1081.9,Close Short,-92.037233,0.898198,0xbe93c92987c6a465c00d042fa4a4240000cee10f22c9c337625c747c46ca7e50
1763368368590,2025-11-17T08:32:48.590000+00:00,TON,B,1.845,778.3,Close Short,-66.287811,0.646183,0xbe93c92987c6a465c00d042fa4a4240000cee10f22c9c337625c747c46ca7e50
1763368368590,2025-11-17T08:32:48.590000+00:00,TON,B,1.8451,2454.7,Close Short,-209.312269,2.038125,0xbe93c92987c6a465c00d042fa4a4240000cee10f22c9c337625c747c46ca7e50
1763401306736,2025-11-17T17:41:46.736000+00:00,TON,A,1.7542,1137.2,Open Short,0.0,0.897694,0x5166a03d06605e8452e0042faad35002049e0022a1637d56f52f4b8fc564386e
1763401306736,2025-11-17T17:41:46.736000+00:00,TON,A,1.7542,1137.3,Open Short,0.0,0.897773,0x5166a03d06605e8452e0042faad35002049e0022a1637d56f52f4b8fc564386e
1763401306736,2025-11-17T17:41:46.736000+00:00,TON,A,1.7542,627.2,Open Short,0.0,0.495105,0x5166a03d06605e8452e0042faad35002049e0022a1637d56f52f4b8fc564386e
1763737612708,2025-11-21T15:06:52.708000+00:00,TON,B,1.5321,1343.4,Close Short,298.36914,0.9262,0x16e1092f685df622185a042fea168c0203e90015035114f4baa9b4822751d00c
1763737612708,2025-11-21T15:06:52.708000+00:00,TON,B,1.5322,472.4,Close Short,104.8728,0.325715,0x16e1092f685df622185a042fea168c0203e90015035114f4baa9b4822751d00c
1763737612708,2025-11-21T15:06:52.708000+00:00,TON,B,1.5325,501.4,Close Short,111.16038,0.345777,0x16e1092f685df622185a042fea168c0203e90015035114f4baa9b4822751d00c
1763737612708,2025-11-21T15:06:52.708000+00:00,TON,B,1.5327,583.1,Close Short,129.15665,0.402172,0x16e1092f685df622185a042fea168c0203e90015035114f4baa9b4822751d00c
1763737669015,2025-11-21T15:07:49.015000+00:00,TON,B,1.5298,1.4,Close Short,0.31416,0.000963,0x837357d68231359784ed042fea196602057500bc1d345469273c032941350f82
1763919122283,2025-11-23T17:32:02.283000+00:00,TON,A,1.4792,45.5,Open Short,0.0,0.030286,0x4842c55cbc6f156149bc04300c3fcb020957004257623433ec0b70af7b62ef4b
1763919122283,2025-11-23T17:32:02.283000+00:00,TON,A,1.479,362.4,Open Short,0.0,0.241195,0x4842c55cbc6f156149bc04300c3fcb020957004257623433ec0b70af7b62ef4b
