time,datetime,coin,side,px,sz,dir,closedPnl,fee,hash
1744901371099,2025-04-17T14:49:31.099000+00:00,HYPE,A,16.238,6.15,Close Long,0.8856,0.048532,0xe63fcdec8043b397b5820421b99a4501eb0077f1146d53a477b5b1bde0637aca
1744901371099,2025-04-17T14:49:31.099000+00:00,HYPE,A,16.236,20.06,Close Long,2.84852,0.158286,0xe63fcdec8043b397b5820421b99a4501eb0077f1146d53a477b5b1bde0637aca
1744901371099,2025-04-17T14:49:31.099000+00:00,HYPE,A,16.235,44.4,Close Long,6.2604,0.350324,0xe63fcdec8043b397b5820421b99a4501eb0077f1146d53a477b5b1bde0637aca
1744906634566,2025-04-17T16:17:14.566000+00:00,@107,B,16.618,14.23,Buy,0.0,0.0047812,0xfb80223d38a70fc64d580421ba99460201e5009f2eada93056f2c5f399ddaa13
1744953691802,2025-04-18T05:21:31.802000+00:00,@107,B,16.789,2.25,Buy,0.0,0.00075597,0x88ca796706459fedad860421c3781002031c00811666253d545486a23132c4e9
1744953691802,2025-04-18T05:21:31.802000+00:00,@107,B,16.789,4.17,Buy,0.0,0.00140103,0x88ca796706459fedad860421c3781002031c00811666253d545486a23132c4e9
1744953691802,2025-04-18T05:21:31.802000+00:00,@107,B,16.789,1.63,Buy,0.0,0.00054762,0x88ca796706459fedad860421c3781002031c00811666253d545486a23132c4e9
1744953691802,2025-04-18T05:21:31.802000+00:00,@107,B,16.792,1.27,Buy,0.0,0.00042669,0x88ca796706459fedad860421c3781002031c00811666253d545486a23132c4e9
1745158112209,2025-04-20T14:08:32.209000+00:00,@107,A,17.56,11.03,Sell,9.752688,0.452451,0xb78139a77c6af00c951e0421e917cb020316009122d81fb64dc21c797547002b
1745158189111,2025-04-20T14:09:49.111000+00:00,ETH,B,1578.6,2.5827,Open Long,0.0,1.981445,0x91b779c41ad5d998d1660421e91bab01a8008cb16c3ed97ad3427f2f98312175
1745158189111,2025-04-20T14:09:49.111000+00:00,ETH,B,1578.6,0.4676,Open Long,0.0,0.358741,0x91b779c41ad5d998d1660421e91bab01a8008cb16c3ed97ad3427f2f98312175
1745158193941,2025-04-20T14:09:53.941000+00:00,ETH,A,1578.5,3.0503,Close Long,-0.30503,2.340039,0x39be892ec68d124094c90421e91be90201d2005c2aea27ec0d87a198bfd84516
