time,datetime,coin,side,px,sz,dir,closedPnl,fee,hash
1755762239656,2025-08-21T07:43:59.656000+00:00,YZY,B,1.1405,53.0,Open Long,0.0,0.0272,0xc60e75baf22da301cb1d0429f49c0902033b002f0c5b8ff3c140009bf97bf79f
1755762239656,2025-08-21T07:43:59.656000+00:00,YZY,B,1.1428,70.0,Open Long,0.0,0.035998,0xc60e75baf22da301cb1d0429f49c0902033b002f0c5b8ff3c140009bf97bf79f
1755762823051,2025-08-21T07:53:43.051000+00:00,YZY,B,1.1001,401.0,Open Long,0.0,0.066171,0x0000000000000000000000000000000000000000000000000000000000000000
1755762827009,2025-08-21T07:53:47.009000+00:00,YZY,B,1.1001,226.0,Open Long,0.0,0.037293,0x0000000000000000000000000000000000000000000000000000000000000000
1755762827009,2025-08-21T07:53:47.009000+00:00,YZY,B,1.1001,29.0,Open Long,0.0,0.004785,0x0000000000000000000000000000000000000000000000000000000000000000
1755762829869,2025-08-21T07:53:49.869000+00:00,YZY,B,1.1001,652.0,Open Long,0.0,0.107589,0x60c8dc1645599226b4690429f4b97702014e00dbe35b28026beafc43bf3013d7
1755762833804,2025-08-21T07:53:53.804000+00:00,YZY,B,1.1001,982.0,Open Long,0.0,0.162044,0x736389c4e59da6b90e8e0429f4b9a402035900fffa3ebc4b870dca0dd0de600c
1755762834061,2025-08-21T07:53:54.061000+00:00,YZY,B,1.1001,35.0,Open Long,0.0,0.005775,0xa76167d90d0af70712ff0429f4b9a802020e00ff4688f5165ef0a9fc2c546b06
1755763800525,2025-08-21T08:10:00.525000+00:00,YZY,B,1.12,552.0,Open Long,0.0,0.092735,0xc65a83d7cd21385112d60429f4e98602095900066058112c08b297b806d4a6fd
1755766236678,2025-08-21T08:50:36.678000+00:00,YZY,B,1.2,10.0,Open Long,0.0,0.001799,0x9d74f4d19ffcbcd470e90429f5622d02023e00d2e99fd116fa54aca18695b061
1755766237006,2025-08-21T08:50:37.006000+00:00,YZY,B,1.2,10.0,Open Long,0.0,0.001799,0x0000000000000000000000000000000000000000000000000000000000000000
1755766241789,2025-08-21T08:50:41.789000+00:00,YZY,B,1.2,380.0,Open Long,0.0,0.0684,0x850fbff206a2f18cf0600429f562710201ab00373740a4b77c3c755b6f96591d
1755779199680,2025-08-21T12:26:39.680000+00:00,YZY,A,0.93268,187.0,Close Long,-34.391544,0.078485,0xb24f3912151a9fe5ed530429f7df660000c96d9d2bf386769e770da21eaec156
1755779199680,2025-08-21T12:26:39.680000+00:00,YZY,A,0.93267,202.0,Close Long,-37.152244,0.084779,0xb24f3912151a9fe5ed530429f7df660000c96d9d2bf386769e770da21eaec156
1755779199680,2025-08-21T12:26:39.680000+00:00,YZY,A,0.93241,998.0,Close Long,-183.813636,0.418745,0xb24f3912151a9fe5ed530429f7df660000c96d9d2bf386769e770da21eaec156
1755779199680,2025-08-21T12:26:39.680000+00:00,YZY,A,0.93201,202.0,Close Long,-37.285564,0.084719,0xb24f3912151a9fe5ed530429f7df660000c96d9d2bf386769e770da21eaec156
1755779199680,2025-08-21T12:26:39.680000+00:00,YZY,A,0.93201,531.0,Close Long,-98.013042,0.222703,0xb24f3912151a9fe5ed530429f7df660000c96d9d2bf386769e770da21eaec156
1755779199680,2025-08-21T12:26:39.680000+00:00,YZY,A,0.93197,429.0,Close Long,-79.202838,0.179916,0xb24f3912151a9fe5ed530429f7df660000c96d9d2bf386769e770da21eaec156
1755779199680,2025-08-21T12:26:39.680000+00:00,YZY,A,0.93152,90.0,Close Long,-16.65648,0.037726,0xb24f3912151a9fe5ed530429f7df660000c96d9d2bf386769e770da21eaec156
1755779199680,2025-08-21T12:26:39.680000+00:00,YZY,A,0.93127,761.0,Close Long,-141.030042,0.318913,0xb24f3912151a9fe5ed530429f7df660000c96d9d2bf386769e770da21eaec156
1755783295055,2025-08-21T13:34:55.055000+00:00,PENGU,B,0.0308,120200.0,Open Long,0.0,0.555324,0x9fb4bf52d05b2b8b0ecd0429f8a66a020b37009b19dc496a8906dbfca30c9c98
1755783295218,2025-08-21T13:34:55.218000+00:00,PENGU,B,0.0308,62618.0,Open Long,0.0,0.289295,0x3a639d5254555dded0650429f8a66b02078f00fa0756f7a07adfda6d00e48d70
1755783295274,2025-08-21T13:34:55.274000+00:00,PENGU,B,0.0308,168508.0,Open Long,0.0,0.778506,0xc0e346f0ed0ae0bad0700429f8a66c02041200e22cf5641240037d141e0d0489
1755783295624,2025-08-21T13:34:55.624000+00:00,PENGU,B,0.0308,53554.0,Open Long,0.0,0.247419,0x19d6f38381ae88e3a2890429f8a66f02080d0015045d3b0cc8c024d6db760e20
1755783295624,2025-08-21T13:34:55.624000+00:00,PENGU,B,0.0308,23585.0,Open Long,0.0,0.108962,0xe78e99d363538caa33a90429f8a66f02080f00f7e5ceed140271d911c80af917
1755877992323,2025-08-22T15:53:12.323000+00:00,PENGU,A,0.033735,4921.0,Close Long,14.443135,0.074704,0x237ae938904b7ed8470a042a0ab72702071d00cd318f26ddb7871b02e9da3084
1755877992323,2025-08-22T15:53:12.323000+00:00,PENGU,A,0.033735,4767.0,Close Long,13.991145,0.072366,0x237ae938904b7ed8470a042a0ab72702071d00cd318f26ddb7871b02e9da3084
1755877992323,2025-08-22T15:53:12.323000+00:00,PENGU,A,0.033731,31158.0,Close Long,91.324098,0.472945,0x237ae938904b7ed8470a042a0ab72702071d00cd318f26ddb7871b02e9da3084
1755877992323,2025-08-22T15:53:12.323000+00:00,PENGU,A,0.03373,13749.0,Close Long,40.28457,0.208689,0x237ae938904b7ed8470a042a0ab72702071d00cd318f26ddb7871b02e9da3084
1755877992323,2025-08-22T15:53:12.323000+00:00,PENGU,A,0.033729,151412.0,Close Long,443.485748,2.298138,0x237ae938904b7ed8470a042a0ab72702071d00cd318f26ddb7871b02e9da3084
1755877992323,2025-08-22T15:53:12.323000+00:00,PENGU,A,0.033729,4320.0,Close Long,12.65328,0.065569,0x237ae938904b7ed8470a042a0ab72702071d00cd318f26ddb7871b02e9da3084
1755877992323,2025-08-22T15:53:12.323000+00:00,PENGU,A,0.033725,8896.0,Close Long,26.0208,0.135007,0x237ae938904b7ed8470a042a0ab72702071d00cd318f26ddb7871b02e9da3084
1755877992323,2025-08-22T15:53:12.323000+00:00,PENGU,A,0.033725,8896.0,Close Long,26.0208,0.135007,0x237ae938904b7ed8470a042a0ab72702071d00cd318f26ddb7871b02e9da3084
1755877992323,2025-08-22T15:53:12.323000+00:00,PENGU,A,0.033725,8896.0,Close Long,26.0208,0.135007,0x237ae938904b7ed8470a042a0ab72702071d00cd318f26ddb7871b02e9da3084
1755877992323,2025-08-22T15:53:12.323000+00:00,PENGU,A,0.033722,191450.0,Close Long,559.4169,2.905234,0x237ae938904b7ed8470a042a0ab72702071d00cd318f26ddb7871b02e9da3084
1755879185413,2025-08-22T16:13:05.413000+00:00,ETH,A,4745.1,15.8179,Open Short,0.0,33.775882,0x6ffdb4540ca6328e9151042a0aee6f0205e100c4c43c39e04c09cd8a858f3d5b
1755879185413,2025-08-22T16:13:05.413000+00:00,ETH,A,4745.1,2.3706,Open Short,0.0,5.06193,0x6ffdb4540ca6328e9151042a0aee6f0205e100c4c43c39e04c09cd8a858f3d5b
1755879185413,2025-08-22T16:13:05.413000+00:00,ETH,A,4745.1,15.8263,Open Short,0.0,33.793819,0x6ffdb4540ca6328e9151042a0aee6f0205e100c4c43c39e04c09cd8a858f3d5b
1755879185413,2025-08-22T16:13:05.413000+00:00,ETH,A,4745.0,5.9852,Open Short,0.0,12.779898,0x6ffdb4540ca6328e9151042a0aee6f0205e100c4c43c39e04c09cd8a858f3d5b
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4791.8,17.4699,Close Short,-816.193728,37.67052,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4791.8,2.0894,Close Short,-97.616768,4.505394,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4792.0,0.4013,Close Short,-18.828996,0.865363,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4792.0,0.3412,Close Short,-16.009104,0.735763,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4792.2,3.13,Close Short,-147.4856,6.749813,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4792.2,1.012,Close Short,-47.68544,2.182367,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4792.2,3.0,Close Short,-141.36,6.46947,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4792.5,3.0,Close Short,-142.26,6.469875,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4792.5,0.78,Close Short,-36.9876,1.682167,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4792.5,1.1798,Close Short,-55.946116,2.544386,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4792.5,0.2809,Close Short,-13.320278,0.605795,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
1755882803989,2025-08-22T17:13:23.989000+00:00,ETH,B,4792.5,0.3022,Close Short,-14.330324,0.651732,0x916b06339cb56e9f69a8042a0b99f9000048ae90ac59acd956492fc983eb4669
