time,datetime,coin,side,px,sz,dir,closedPnl,fee,hash
1775050597592,2026-04-01T13:36:37.592000+00:00,xyz:MU,B,354.53,20.596,Open Long,0.0,0.210294,0xa232beca19a275c2a3ac04382c24f202044800afb4a5949445fb6a1cd8a64fad
1775050597592,2026-04-01T13:36:37.592000+00:00,xyz:MU,B,354.53,4.058,Open Long,0.0,0.041434,0x550635653333b83e567f04382c24f2020449004ace36d710f8cee0b7f2379228
1775050597592,2026-04-01T13:36:37.592000+00:00,xyz:MU,B,354.53,36.962,Open Long,0.0,0.377399,0x07d9ac004cc4faba095304382c24f202044a00e5e7c8198caba257530bc8d4a4
1775050597695,2026-04-01T13:36:37.695000+00:00,xyz:MU,B,354.53,36.849,Open Long,0.0,0.376245,0xdae1a8c3ada55829dc5b04382c24f30205c300a948a876fb7eaa54166ca93214
1775050597695,2026-04-01T13:36:37.695000+00:00,xyz:MU,B,354.53,8.724,Open Long,0.0,0.089076,0xbea9e701609e298bc02304382c24f30205ca00e6fb91485d627292541f920376
1775050597827,2026-04-01T13:36:37.827000+00:00,xyz:MU,B,354.53,27.23,Open Long,0.0,0.27803,0xbfbf3e8fb2227ceac13804382c24f60207fc00754d259bbc6387e9e2712656d5
1775050597827,2026-04-01T13:36:37.827000+00:00,xyz:MU,B,354.53,13.377,Open Long,0.0,0.136585,0x7292b52acbb3bf66740c04382c24f60207fd001066b6de38165b607d8ab79951
1775050599079,2026-04-01T13:36:39.079000+00:00,xyz:MU,B,354.53,2.908,Open Long,0.0,0.029692,0xda6691dc66a6354ddbe004382c250702046f00c201a9541f7e2f3d2f25aa0f38
1775050599323,2026-04-01T13:36:39.323000+00:00,xyz:MU,B,354.53,9.132,Open Long,0.0,0.093241,0xffc4f1b363d3cea9013e04382c250b0205a60098fed6ed7ca38d9d0622d7a894
1775050599323,2026-04-01T13:36:39.323000+00:00,xyz:MU,B,354.53,40.164,Open Long,0.0,0.410093,0xb298684e7d651125b41204382c250b0205a7003418682ff7566113a13c68eb10
1775050684874,2026-04-01T13:38:04.874000+00:00,xyz:MU,B,354.91,34.806,Open Long,0.0,1.067298,0x73094312b5868f86748204382c29150204c700f85089ae5816d1ee65748a6971
1775050684874,2026-04-01T13:38:04.874000+00:00,xyz:MU,B,354.95,34.806,Open Long,0.0,1.067419,0x73094312b5868f86748204382c29150204c700f85089ae5816d1ee65748a6971
1775050684874,2026-04-01T13:38:04.874000+00:00,xyz:MU,B,354.98,2.909,Open Long,0.0,0.089219,0x73094312b5868f86748204382c29150204c700f85089ae5816d1ee65748a6971
1775050684874,2026-04-01T13:38:04.874000+00:00,xyz:MU,B,354.99,34.806,Open Long,0.0,1.067539,0x73094312b5868f86748204382c29150204c700f85089ae5816d1ee65748a6971
1775050684874,2026-04-01T13:38:04.874000+00:00,xyz:MU,B,354.99,14.23,Open Long,0.0,0.43645,0x73094312b5868f86748204382c29150204c700f85089ae5816d1ee65748a6971
1775050684874,2026-04-01T13:38:04.874000+00:00,xyz:MU,B,355.0,178.443,Open Long,0.0,5.473203,0x73094312b5868f86748204382c29150204c700f85089ae5816d1ee65748a6971
1775050826499,2026-04-01T13:40:26.499000+00:00,xyz:MU,B,354.56,98.358,Open Long,0.0,1.004365,0xcc09a0bc3c5eb52ecd8304382c2fda020c2300a1d751d4006fd24c0efb528f19
1775050827042,2026-04-01T13:40:27.042000+00:00,xyz:MU,B,354.56,1.642,Open Long,0.0,0.016767,0x0000000000000000000000000000000000000000000000000000000000000000
1775050874329,2026-04-01T13:41:14.329000+00:00,xyz:MU,B,354.71,34.806,Open Long,0.0,1.066697,0xbc1cb50f912cdc5ebd9604382c322102065500f52c2ffb305fe560625020b649
1775050874329,2026-04-01T13:41:14.329000+00:00,xyz:MU,B,354.75,34.806,Open Long,0.0,1.066817,0xbc1cb50f912cdc5ebd9604382c322102065500f52c2ffb305fe560625020b649
1775050874531,2026-04-01T13:41:14.531000+00:00,xyz:MU,B,354.76,6.662,Open Long,0.0,0.068066,0xd56ce8306614ffded6e604382c32230209f2001601181eb0793593832518d9c9
1775050874822,2026-04-01T13:41:14.822000+00:00,xyz:MU,B,354.76,23.726,Open Long,0.0,0.24241,0x9fc64f5d41c15730a14004382c32260203160042dcc47602438efab000c5311b
1775050971729,2026-04-01T13:42:51.729000+00:00,xyz:MU,B,355.03,28.785,Open Long,0.0,0.294322,0x328cfe0c29ff4470340604382c37000207cf00f1c4f26342d655a95ee8f31e5a
1775050971729,2026-04-01T13:42:51.729000+00:00,xyz:MU,B,355.03,8.758,Open Long,0.0,0.089549,0x6381c5aec356d35664fb04382c37000207d500945e59f228074a7101825aad41
