time,datetime,coin,side,px,sz,dir,closedPnl,fee,hash
1773244737312,2026-03-11T15:58:57.312000+00:00,ETH,A,2049.3,0.2439,Open Short,0.0,0.215924,0x4e2d221558b075b44fa60436dd851902035e00faf3b39486f1f5cd6817b44f9e
1773244741449,2026-03-11T15:59:01.449000+00:00,ETH,A,2049.3,0.2439,Open Short,0.0,0.215924,0xb82f63e6438579d3b9a90436dd85460205f200cbde8898a55bf80f39028953be
1773245483760,2026-03-11T16:11:23.760000+00:00,ETH,A,2054.3,0.4967,Open Short,0.0,0.4408,0xda0f488082194663db890436dda84402014d00661d1c65357dd7f3d3411d204e
1773245503974,2026-03-11T16:11:43.974000+00:00,ETH,A,2052.0,0.006,Open Short,0.0,0.005318,0xe0351a907ebeab4fe1ae0436dda955020692007619b1ca2183fdc5e33db2853a
1773245503974,2026-03-11T16:11:43.974000+00:00,ETH,A,2052.0,0.491,Open Short,0.0,0.435253,0xe0351a907ebeab4fe1ae0436dda955020692007619b1ca2183fdc5e33db2853a
1773245514193,2026-03-11T16:11:54.193000+00:00,ETH,A,2052.3,0.4971,Open Short,0.0,0.440725,0xfa32e7209a92319efbac0436dda9dc02021d0006359550719dfb927359960b89
1773245550197,2026-03-11T16:12:30.197000+00:00,ETH,B,2048.6,1.9786,Close Short,6.687668,1.751051,0x1b02cffcd8ac2d2d1c7c0436ddab9902083500e273af4bffbecb7b4f97a00717
1773245608486,2026-03-11T16:13:28.486000+00:00,xyz:CL,B,87.185,11.248,Open Long,0.0,0.084728,0x3f2610f657845975409f0436ddae8202020600dbf2877847e2eebc491688335f
1773245612223,2026-03-11T16:13:32.223000+00:00,xyz:CL,B,87.14,11.249,Open Long,0.0,0.084692,0x7e5b423ae53946107fd40436ddaeb60204950020803c64e22223ed8da43d1ffb
1773245740655,2026-03-11T16:15:40.655000+00:00,xyz:CL,B,86.9,11.288,Open Long,0.0,0.084752,0x56782c9db4bb450557f10436ddb4e40204e700834fbe63d7fa40d7f073bf1eef
