time,datetime,coin,side,px,sz,dir,closedPnl,fee,hash
1773623010829,2026-03-16T01:03:30.829000+00:00,@230,B,0.99996,16.0,Buy,0.0,0.00223999,0x7e81fd08bf97fb517ffb043722e02002029900ee5a9b1a23224aa85b7e9bd53c
1773658539789,2026-03-16T10:55:39.789000+00:00,flx:OIL,B,95.63,1.668,Open Long,0.0,0.004785,0x20089f7856700629218204372958610208250101f17324fbc3d14acb1573e013
1773663972996,2026-03-16T12:26:12.996000+00:00,xyz:BRENTOIL,B,98.729,304.94,Open Long,0.0,0.903192,0xba8919f817665153bc0204372a590f02053300ddb26970255e51c54ad66a2b3e
1773721353645,2026-03-17T04:22:33.645000+00:00,xyz:BRENTOIL,A,98.454,15.23,Close Long,-4.18825,0.13495,0xb2b7e1bd929b059fb431043734f07f02072e00a32d9e247156808d10519edf8a
1773721353645,2026-03-17T04:22:33.645000+00:00,xyz:BRENTOIL,A,98.429,289.71,Close Long,-86.913,2.566427,0xb2b7e1bd929b059fb431043734f07f02072e00a32d9e247156808d10519edf8a
1773721353645,2026-03-17T04:22:33.645000+00:00,flx:OIL,A,95.089,1.668,Close Long,-0.902388,0.012847,0x615ac7e82eea18f762d4043734f07f02072e0101c9ed37c90523733aededf2e2
1773842811432,2026-03-18T14:06:51.432000+00:00,xyz:BRENTOIL,B,103.95,112.43,Open Long,0.0,0.350612,0x1a1bc6221a6144981b9504374b2d180208f60007b564636abde47174d9651e82
1773842811432,2026-03-18T14:06:51.432000+00:00,xyz:BRENTOIL,B,103.95,2.44,Open Long,0.0,0.007609,0x329629f367150c0b340f04374b2d180208f900d902182addd65ed5462618e5f5
1773842811700,2026-03-18T14:06:51.700000+00:00,xyz:BRENTOIL,B,103.95,1.4,Open Long,0.0,0.004365,0x10e6d47afc08e184126004374b2d1c02050c0060970c0056b4af7fcdbb0cbb6e
1773842812270,2026-03-18T14:06:52.270000+00:00,xyz:BRENTOIL,B,103.95,102.82,Open Long,0.0,0.320644,0x4c6da7a17f86612d4de704374b2d23021da100871a897ffff03652f43e8a3b17
1773843195531,2026-03-18T14:13:15.531000+00:00,xyz:BRENTOIL,A,104.22,192.2,Close Long,51.894,1.802797,0xce3866b2ae071c4fcfb204374b3fde020be20098490a3b21720112056d0af63a
1773843195531,2026-03-18T14:13:15.531000+00:00,xyz:BRENTOIL,A,104.21,26.89,Close Long,6.9914,0.252198,0xce3866b2ae071c4fcfb204374b3fde020be20098490a3b21720112056d0af63a
1773843633453,2026-03-18T14:20:33.453000+00:00,xyz:BRENTOIL,B,104.77,68.62,Open Long,0.0,0.647038,0x639e89b70f477519651804374b550302049d009caa4a93eb07673509ce4b4f04
