datetime,open,high,low,close,volume
2025-12-26T00:00:00+00:00,73.6,73.987,73.58,73.952,1988.57
2025-12-26T01:00:00+00:00,73.96,75.0,73.95,74.59,5117.05
2025-12-26T02:00:00+00:00,74.59,74.88,74.298,74.76,786.9
2025-12-26T03:00:00+00:00,74.76,74.889,74.394,74.45,976.84
2025-12-26T04:00:00+00:00,74.425,74.74,74.395,74.52,385.29
2025-12-26T05:00:00+00:00,74.595,74.889,74.562,74.889,239.58
2025-12-26T06:00:00+00:00,74.978,75.22,74.575,74.693,1411.67
2025-12-26T07:00:00+00:00,74.62,74.82,74.59,74.66,645.36
2025-12-26T08:00:00+00:00,74.68,74.99,74.65,74.985,794.42
2025-12-26T09:00:00+00:00,74.934,74.95,74.699,74.796,640.4
2025-12-26T10:00:00+00:00,74.796,75.45,74.796,74.9,2152.62
2025-12-26T11:00:00+00:00,74.896,74.9,73.57,74.33,2987.45
2025-12-26T12:00:00+00:00,74.4,74.57,73.95,74.231,721.07
2025-12-26T13:00:00+00:00,74.08,74.844,74.017,74.7,1549.81
2025-12-26T14:00:00+00:00,74.716,76.511,74.479,75.2,4767.61
2025-12-26T15:00:00+00:00,75.2,76.179,74.479,76.03,5814.82
2025-12-26T16:00:00+00:00,76.029,76.38,75.573,76.333,3090.52
2025-12-26T17:00:00+00:00,76.333,76.99,75.9,76.651,7194.64
2025-12-26T18:00:00+00:00,76.651,77.765,76.35,77.449,5931.92
2025-12-26T19:00:00+00:00,77.43,77.855,77.01,77.098,9072.87
2025-12-26T20:00:00+00:00,77.099,78.596,76.74,78.4,20552.08
2025-12-26T21:00:00+00:00,78.4,79.28,77.894,79.2,8397.82
2025-12-26T22:00:00+00:00,79.277,79.285,78.67,79.201,6409.9
2025-12-26T23:00:00+00:00,79.2,79.2,77.794,79.119,6954.05
2025-12-27T00:00:00+00:00,79.05,79.12,78.64,78.641,3066.87
2025-12-27T01:00:00+00:00,78.641,79.01,78.3,78.302,2815.45
2025-12-27T02:00:00+00:00,78.504,78.948,78.301,78.928,1671.77
2025-12-27T03:00:00+00:00,78.928,78.957,78.817,78.94,1679.08
2025-12-27T04:00:00+00:00,78.94,79.202,78.761,78.937,3926.53
2025-12-27T05:00:00+00:00,78.92,78.927,78.725,78.9,2426.62
2025-12-27T06:00:00+00:00,78.9,78.92,78.83,78.84,1742.32
2025-12-27T07:00:00+00:00,78.84,79.191,78.84,78.98,4469.61
2025-12-27T08:00:00+00:00,78.891,78.98,78.89,78.96,717.87
2025-12-27T09:00:00+00:00,78.891,79.191,78.89,79.11,2183.86
2025-12-27T10:00:00+00:00,79.015,79.191,78.91,78.92,2545.11
2025-12-27T11:00:00+00:00,78.96,78.99,78.91,78.99,1083.44
2025-12-27T12:00:00+00:00,78.99,79.04,78.88,79.0,748.44
2025-12-27T13:00:00+00:00,78.978,79.029,78.957,79.029,1294.74
2025-12-27T14:00:00+00:00,79.02,79.04,78.951,78.99,1624.8
2025-12-27T15:00:00+00:00,78.99,79.01,78.97,79.0,794.09
2025-12-27T16:00:00+00:00,78.97,79.11,78.97,78.99,2084.67
2025-12-27T17:00:00+00:00,79.01,79.05,78.93,79.025,4983.59
2025-12-27T18:00:00+00:00,79.025,79.2,78.987,79.021,4743.43
2025-12-27T19:00:00+00:00,79.022,79.087,79.022,79.04,2980.0
2025-12-27T20:00:00+00:00,79.04,79.074,78.873,79.02,3534.85
2025-12-27T21:00:00+00:00,79.04,79.1,79.02,79.06,675.6
2025-12-27T22:00:00+00:00,79.1,79.203,79.094,79.203,2552.59
2025-12-27T23:00:00+00:00,79.203,79.203,79.199,79.203,1975.0
2025-12-28T00:00:00+00:00,79.203,79.52,79.199,79.51,2907.06
2025-12-28T01:00:00+00:00,79.51,79.576,79.199,79.411,2102.58
2025-12-28T02:00:00+00:00,79.411,79.411,79.2,79.402,1143.94
2025-12-28T03:00:00+00:00,79.402,80.0,79.284,79.994,4204.62
2025-12-28T04:00:00+00:00,79.418,80.202,79.41,80.0,6397.61
2025-12-28T05:00:00+00:00,79.752,80.0,79.55,79.824,2135.08
2025-12-28T06:00:00+00:00,79.59,79.825,79.572,79.816,1661.27
2025-12-28T07:00:00+00:00,79.825,80.808,79.439,80.6,4232.91
2025-12-28T08:00:00+00:00,79.929,80.79,79.5,79.99,2044.52
2025-12-28T09:00:00+00:00,80.148,80.447,79.613,80.441,1818.62
2025-12-28T10:00:00+00:00,80.441,80.443,79.876,80.19,1687.85
2025-12-28T11:00:00+00:00,80.232,80.952,79.849,80.8,4574.57
