datetime,open,high,low,close,volume
2025-11-13T14:00:00+00:00,400.69,428.92,400.69,414.88,3586.692
2025-11-13T15:00:00+00:00,414.88,417.26,404.33,408.13,4611.19
2025-11-13T16:00:00+00:00,407.92,408.36,401.11,401.63,2368.682
2025-11-13T17:00:00+00:00,401.95,411.35,398.8,401.38,2824.319
2025-11-13T18:00:00+00:00,401.61,402.24,396.62,398.83,1972.394
2025-11-13T19:00:00+00:00,398.84,403.65,396.74,400.09,2422.467
2025-11-13T20:00:00+00:00,400.26,404.38,399.43,401.74,1191.892
2025-11-13T21:00:00+00:00,402.0,403.61,400.51,400.51,1057.347
2025-11-13T22:00:00+00:00,400.51,401.24,399.52,400.93,575.467
2025-11-13T23:00:00+00:00,400.93,404.11,400.93,402.22,631.3
2025-11-14T00:00:00+00:00,402.22,402.49,400.75,400.75,307.929
2025-11-14T01:00:00+00:00,400.76,400.77,397.06,398.57,477.845
2025-11-14T02:00:00+00:00,398.61,401.61,398.61,400.15,537.266
2025-11-14T03:00:00+00:00,400.13,401.2,399.55,400.48,232.138
2025-11-14T04:00:00+00:00,400.48,400.49,391.14,393.91,697.897
2025-11-14T05:00:00+00:00,392.95,398.0,387.95,395.84,912.034
2025-11-14T06:00:00+00:00,395.8,397.82,392.22,394.83,249.469
2025-11-14T07:00:00+00:00,394.84,395.42,392.48,394.17,290.778
2025-11-14T08:00:00+00:00,394.04,394.99,392.03,393.85,275.756
2025-11-14T09:00:00+00:00,393.85,396.07,389.41,390.83,517.479
2025-11-14T10:00:00+00:00,390.81,394.71,390.03,390.97,710.726
2025-11-14T11:00:00+00:00,390.8,391.0,385.88,387.63,755.511
2025-11-14T12:00:00+00:00,387.87,387.9,381.1,383.57,1431.234
2025-11-14T13:00:00+00:00,383.57,386.01,381.02,383.34,536.226
2025-11-14T14:00:00+00:00,383.33,398.31,382.81,398.3,4669.535
2025-11-14T15:00:00+00:00,398.28,405.48,392.16,404.6,6925.892
2025-11-14T16:00:00+00:00,404.6,411.78,401.41,409.02,3872.914
2025-11-14T17:00:00+00:00,409.02,410.13,407.03,408.46,1333.956
2025-11-14T18:00:00+00:00,408.8,410.4,404.35,407.34,1287.226
2025-11-14T19:00:00+00:00,407.31,412.76,403.58,409.89,2292.252
2025-11-14T20:00:00+00:00,409.89,409.91,403.6,403.74,1328.069
2025-11-14T21:00:00+00:00,404.08,405.71,403.62,403.74,493.303
2025-11-14T22:00:00+00:00,403.72,403.86,403.72,403.86,379.886
2025-11-14T23:00:00+00:00,403.86,404.36,403.86,404.36,474.186
2025-11-15T00:00:00+00:00,404.36,405.55,404.35,405.53,462.748
2025-11-15T01:00:00+00:00,405.53,405.55,405.27,405.34,311.053
2025-11-15T02:00:00+00:00,405.55,405.55,405.34,405.55,65.618
2025-11-15T03:00:00+00:00,405.55,405.55,405.38,405.55,53.464
2025-11-15T04:00:00+00:00,405.54,405.55,405.54,405.54,70.725
2025-11-15T05:00:00+00:00,405.54,405.55,405.54,405.55,110.572
2025-11-15T06:00:00+00:00,405.54,405.55,405.54,405.54,67.282
2025-11-15T07:00:00+00:00,405.55,408.42,404.75,405.6,649.985
2025-11-15T08:00:00+00:00,405.6,405.61,405.36,405.6,143.424
2025-11-15T09:00:00+00:00,405.61,405.61,405.58,405.61,435.628
2025-11-15T10:00:00+00:00,405.61,405.63,405.5,405.56,264.795
2025-11-15T11:00:00+00:00,405.56,406.17,404.34,405.51,432.257
2025-11-15T12:00:00+00:00,405.51,405.51,405.48,405.49,259.674
2025-11-15T13:00:00+00:00,405.49,405.86,405.48,405.63,156.161
2025-11-15T14:00:00+00:00,405.63,405.68,405.59,405.68,82.023
